index_número_registro,tipo_registro,núcleo_víctima,nombre_víctima,tipo_delito,fecha_registro,directa_indirecta,fecha_acuerdo_ministerial,carpeta_investigacion,numero_anexo,numero_recomendacion,nombre_recomendacion,fecha_emision_recomendacion,derechos_violados,clave_víctima,fecha_sentencia,expediente_judicial,AlfanúmericaRegistro
101,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
102,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],28 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
103,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],28 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
104,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
105,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
106,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
107,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
108,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
109,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
110,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
111,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],19 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
112,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],19 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
113,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],19 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
114,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],19 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
115,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],10 de enero de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
116,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],15 de marzo de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
117,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],15 de marzo de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
118,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],15 de marzo de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
119,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],15 de marzo de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
120,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],26 de junio de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
121,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],26 de junio de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
122,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
123,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Delito – MP,Name,Name,Type,25 de enero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Delito – MP,Name,Name,Type,25 de enero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Delito – Judicial,Name,Name,Type,NA,directa,NA,NA,NA,NA,NA,NA,NA,NA,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA
166,Delito – Judicial,Name,Name,Type,NA,indirecta,NA,NA,NA,NA,NA,NA,NA,NA,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA
167,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],27 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
168,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
169,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
170,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
171,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
172,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
173,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
174,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
175,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
176,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
177,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
178,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],24 de octubre de 2023,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
186,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,Delito – MP,Name,Name,Type,27 de febrero de 2024,indirecta,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Delito – MP,Name,Name,Type,27 de febrero de 2024,directa,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
